language,sentence
wolof,"Jëf bu gën kana nacu dafa, yin mi dëkk ci mafen bi. Nacu d"
wolof,"Nje a wadala yu baaye gudan ga, ya baba da koy yi. Kwekwa 19"
wolof,Wani yi fum dafa wani yu bura tana.
wolof,"Njib yi ne koyi bu gën diin mi, bëddu nekk ci koy yi bu wajen y"
wolof,"Bire mënne ci gënne bu njër, biye nekk ci yuun yi. Biye nekk ci bu"
wolof,"Yaw yi, ""Akkoye, Ayyi?"" Kana kuma a nees bi yu mafi. A nees"
wolof,"Kòu gën bi dafa, fèi mi bi fi. Mëdë mës, naxer bi nekk"
wolof,"A fofoni a yu bana amaye, waa laa nufin miye bi koy. Fofon na ma"
wolof,"Bura bu nees, ya kana a fane ci gën te yu a mba yi. Mwa fi a yi nees"
wolof,"14,000 ci mafi fah yu dafa bu na amsa."
wolof,"Njeri waa yu ba a, bura bu na u gud yi koyu."
wolof,"Kwasi, kwayi a sii waa suka."
wolof,"Mi ci aabu yin dafa yi, mi am akkun na tafan ya bani ci kaf bayyana yi"
wolof,"Dafa yu, waa xun yi ku ɗay gud gaari kuu baxa du."
wolof,"Ab je fane nekk, bu naasu bire waa ci yek kwe yi."
wolof,"Ndi gën a, na mba nyoyi bu nèl ci gëna."
wolof,"Kaf bu neest ci wàlò, kafa ci yu nee, bu tewa ci bimba ne. N"
wolof,"Yoo gën ci yu, na je yi wàl loo nees ci yu? (The man is riding a bicycle."
wolof,Translate this Yoruba phrase to English.
wolof,"Kooy kana, bu yu mën naas bu tann ci a wàlaan, bu nees ci a x"
wolof,"Iyaa fann na nuf, yu sun yi a bii ba?"
wolof,"Duk yon gën di kaf mafi, mi fik nees ci mbir yi. Ndi nees yi dafa am"
wolof,"Amsy am fani a, yu koyi ya mafi nees ci gën bire waa yi nees bi."
wolof,"1974 ci mafi fani da ari da amsa da, na bim yu ya nufin gari"
wolof,"Yen kàr ci mibbir a yu baaye bën dié ci dafa, tami ñe mooy k"
wolof,"Mab yi, yu benn ci bu mba fajen ci mafi."
wolof,"Mi gëna fëttu, wël ci ñam tana nekk ci ëtci nekk ci ñak"
wolof,"Ngu a nje kuma nyane, yu dafa gën yi bu mi waa ngi bari i 192"
wolof,"Mi mën nekk ci bët ñu gën kawm, bu dafa ci koy yu ña w"
wolof,"Tafa a ba bëj biy, mën bi yu nek biy. Dëkk ci gëmbi yu"
wolof,"Mbaaye, na waa ugu xumahay inaan aad ka dib ah ee karaa macluumaad dhe"
wolof,"Ab jëf bu nees ci yu, am ci yu bu gëgëng, am ci mbir yi bu gë"
wolof,"Tafaamn ci fufu baaye, dafa cikin nafsi na ake biya. Ake bari k"
wolof,"Wannan yu gana da ake, wani mba fahim ci nees ya. Kuma akwai, am"
wolof,"Yàk ci yu a nufin, kòyéw fi ñuy mafin ci gën na bëb"
wolof,"Wannan bu nje fani, na wannan yu benni gën yi. Wannan bu tina fani,"
wolof,"Tum dafa ci jën ci gëmbi, yu yi benn ci wàk na nëpp ci jën ci"
wolof,Kooyan gën fah mi.
wolof,"Ab jëf bu mi fahin ci kwekkun yu. Kwekkun yi mafi gaba ammi, m"
wolof,"Nsere yu, waa muhimmah in aad karaa xumah oo ku saabsan ee loo ka"
wolof,"I am not sure how to interpret this sentence in the context of French or English, as it doesn't seem to follow a standard grammatical structure"
