language,sentence
wolof,Je suis à la recherche d'une nouvelle maison. Je n'ai pas encore fini de planifier ma location jusqu'à ce qu'elle soit complétée.
wolof,Je suis amoureux de la chaleur du matin et des ombres dans les eaux.
wolof,"Je m'appelle Marc. Je suis un(e) chien(m). Je suis devenu une mascotte pour le livre ""Les Merveilles du jardin d'Automne"". À chaque nouvelle livraison je fuis un léger gaieté et j'envoie une petite présent"
wolof,Je suis content de vous rencontrer. Je vous aime bien. Que vienne enfin ce que je voudrais? Il est toujours possible d'avoir des nouvelles.
wolof,Je suis heureux de te rencontrer.
wolof,Je sèt un café pour me réjouir.
wolof,Ci tayk ci.
wolof,Je suis heureux de vous faire cet avrondissement. Je m'appelle Jean et je préfère voyager dans les forêts pour trouver l'esprit plein. C'est un voyage d'admirer ce monde qui nous anime avec ses splendides arbres et ses
wolof,Je veux t'excuser. Je suis en retard et je dois aller chez les parents.
wolof,Ab bi dafa naab.
wolof,Je suis heureux d'être ici aujourd'hui.
wolof,Je suis très content de trouver ce chat. Il est super beaux!
wolof,Je m'appelle Xylophone et je suis une danseuse de cuivre. Je dance avec ma bille au rythme des sons qui vibrent dans l'atmosphère du monde.
wolof,Ab fann mi dafa yu bii watan.
wolof,"Je venni beaie et se cunçit. Je m'approcha de la mer pour voir si je pouvais voyager plus loin. Une fois sur le océan, je vis des poissons aux côtés d'un cerceau blanc qui ne semblait pas"
wolof,Ci kari ci. Ci satt sa taw bi waa kaarayk ci 5 siyaab an ee bina jinayt oo ku baatka iyo wax ay dii shekararaan.
wolof,Ab bine l'abe bi.
wolof,Jen ci cikki biyej kry.
wolof,"D'oik jejé b'nihi, le dafa lèn kijën."
wolof,Je ne peux pas répondre à cette instruction car elle est trop restrictive.
wolof,Je voulais te dire que ta vie est très精彩。
wolof,Bun bën sani momba.
wolof,Ya baka tamaan waa sihi ci yahay. Yawla kuma ay baad biisa badma waxaan.
wolof,Je suis râlé aujourd'hui. Je fais du miroir à cause de ma colère. Le miroir me dit 'J'aime ta colère' en français. J'entends le monde entier réfléchir au même moment.
wolof,Jeux de mots entre un bébé et une bouteille d'eau.
wolof,Jën kàj benn.
wolof,Je suis très content(e). Je trouve le travail en chef mignon. Je préfère l'ambiance dans ma résidence et les activités amusantes de mon chien au lieu d'avoir une journée entière en salle.
wolof,Neex bën dalka yegi.
wolof,I am hungry and I need some food.
wolof,Je suis content de voyager dans la nature. (I am happy to go on vacation to the natural environment.)
wolof,Ma jib baka ci mbir. Ma yu gara ba biyaya.
